"";"*YEAR2018";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"ini";0;0;6;0;0;0;9;8
"adaptarlas";0;1;0;0;0;2;3;4
"promo";0;0;0;0;0;0;10;7
"empoderamiento";0;0;1;4;0;7;39;17
"alinea";0;0;0;0;1;4;16;17
"proactiva";1;0;2;0;0;5;43;16
"participativo";1;0;0;1;0;7;20;10
"colabo";0;0;2;0;0;0;6;14
"concienciar";0;0;0;2;1;1;3;4
"paña";0;0;0;0;0;1;6;5
"adolescencia";1;0;0;0;0;0;3;15
"dia";0;0;0;1;0;0;9;11
"refle";0;0;1;0;0;0;4;11
"anónimo";7;1;1;1;0;2;7;11
"ordenador";179;15;1;1;8;27;56;30
"foro";10;0;4;29;4;30;82;39
"multi";2;0;2;5;0;5;16;10
"canvas";0;0;0;0;0;0;12;6
"genially";0;0;0;0;0;2;1;11
"participativa";0;1;0;1;0;9;15;12
"docen";0;0;0;0;0;5;16;13
"tecnólogos";3;1;0;1;0;2;10;6
"cepción";0;0;0;0;0;1;4;10
"implementó";0;0;1;0;1;5;10;7
"cua";0;0;0;1;0;0;5;8
"asimilación";0;0;1;0;0;3;17;5
"aprobación";0;0;0;1;0;7;22;7
"confidencialidad";0;0;0;4;0;1;19;7
"recopilados";7;1;0;1;0;7;41;11
"ge";5;0;4;4;1;8;27;38
"nerar";0;0;1;1;0;0;2;8
"impor";0;0;4;0;0;36;39;11
"tancia";0;0;1;0;0;7;18;8
"socioemocionales";0;0;0;1;0;4;4;8
"represar";0;0;0;0;1;2;5;3
"kit";1;2;0;1;0;1;7;35
"empoderar";3;0;0;9;0;12;33;13
"educati";0;0;0;0;0;3;24;17
"vosotros";1;0;10;0;0;10;37;44
"sión";0;0;6;0;1;3;29;39
"sensibilizar";0;0;0;1;0;2;7;9
"apli";0;0;2;1;1;1;13;21
"pregun";0;0;0;0;0;2;10;14
"aprendidas";2;1;0;1;0;4;20;6
"rante";0;0;0;0;0;0;4;8
"experien";0;0;1;0;0;0;11;17
"activida";0;0;0;0;0;1;6;15
"deliberar";2;0;0;3;0;9;9;10
"satisfacción";0;0;0;0;0;16;64;62
"ítem";0;0;0;0;0;2;31;45
"ítems";1;0;0;0;0;14;29;57
"impactó";3;0;0;0;0;1;5;3
"facilitadores";0;0;0;1;0;5;13;20
"dida";0;0;0;0;1;0;5;7
"respetuoso";0;0;0;1;3;3;14;18
"centrándose";1;0;0;1;1;4;18;5
"posicionar";0;0;3;1;0;5;28;13
"inclusivo";4;0;4;23;1;17;95;26
"parti";0;0;0;0;0;0;8;11
"2013";28;1;22;19;3;48;132;102
"mo";0;0;16;2;3;6;45;44
"mento";0;0;6;1;0;2;17;20
"evalua";0;0;0;1;0;5;17;20
"implementando";2;0;2;2;0;3;11;5
"expre";0;0;0;0;1;0;3;7
"relacio";0;0;2;1;1;1;8;12
"juventud";1;0;0;1;0;4;7;6
"periodo";0;0;0;0;0;13;23;39
"trado";0;0;0;0;0;0;2;8
"ner";0;0;3;0;0;0;10;10
"habilida";0;0;2;0;0;2;9;10
"pacífico";0;0;0;4;0;9;1;2
"ciedad";0;0;1;0;0;2;6;6
"comportar";7;0;2;1;1;11;22;10
"intervention";0;0;1;0;0;3;6;5
"routledge";9;0;0;1;0;9;13;13
"beyond";0;0;1;1;0;10;9;17
"cyberbullying";0;0;0;0;0;18;0;16
"publications";6;1;3;3;3;13;43;16
"youth";0;0;0;6;0;1;2;6
"relations";0;0;0;1;0;1;28;2
"369";0;0;0;1;0;2;3;6
"ross";0;0;0;0;0;2;6;4
"quarterly";1;0;0;1;2;3;3;6
"important";1;0;0;1;0;4;20;40
"clinical";0;0;0;0;0;3;7;4
"move";0;0;0;0;1;2;3;4
"preliminary";0;0;0;3;0;3;2;6
"look";0;0;0;3;0;1;5;16
"violence";0;0;0;2;0;2;1;11
"justice";0;0;1;3;0;2;11;3
"definitions";1;0;0;2;0;1;6;9
"mayer";3;0;1;0;0;3;9;4
"safety";0;0;0;3;0;1;8;46
"afirmativo";1;0;0;0;1;0;7;5
"cuela";0;0;1;0;0;0;0;10
"satisfactorio";0;0;0;0;1;6;24;13
"agradecer";1;0;0;6;2;4;36;16
"dría";0;0;6;1;0;0;1;10
"compe";0;0;0;0;0;1;20;26
"tente";0;0;0;0;0;2;2;7
"excepcional";0;0;0;0;1;8;11;9
"competente";0;2;0;1;1;9;50;30
"mejorarse";4;0;0;0;0;1;3;3
"moderar";1;2;4;3;0;9;13;19
"superficial";4;0;0;4;0;9;24;56
"guadalajara";0;0;0;0;0;8;28;6
"diantes";0;0;2;1;0;6;58;97
"nocimiento";0;0;1;0;0;1;13;11
"novedoso";4;0;0;0;0;5;7;10
"vel";0;0;3;0;0;0;5;5
"titulación";0;0;0;0;0;2;4;11
"caer";11;0;0;0;2;13;26;31
"direc";0;0;2;2;0;3;4;5
"tamente";0;0;0;1;0;10;6;6
"consi";0;0;2;0;0;2;9;14
"derar";0;0;1;0;0;0;5;7
"citación";0;0;1;0;0;12;51;7
"tores";0;0;3;0;0;8;5;13
"siste";0;0;4;2;1;0;13;7
"causal";1;0;0;0;0;1;7;3
"inconsciente";3;0;0;1;0;2;7;4
"indebido";2;0;1;3;0;16;25;12
"tual";0;0;1;0;0;5;13;7
"conceder";3;0;1;0;0;1;9;6
"cen";0;0;6;1;1;2;19;17
"hincapié";2;0;1;5;0;16;12;10
"fesores";0;0;0;0;0;0;13;7
"sobrecarga";4;0;0;2;0;3;6;10
"cuidadoso";4;0;0;0;0;16;56;39
"curriculares";1;1;0;6;0;12;76;35
"vigilar";1;0;0;8;1;6;8;1
"designar";1;0;2;2;0;3;5;3
"carencia";2;0;2;1;0;4;23;8
"concientización";0;0;0;0;0;2;9;3
"sanción";0;0;0;0;0;3;11;7
"ibarra";0;0;0;0;0;4;4;4
"socavar";2;0;0;6;0;7;11;12
"prestigiar";0;0;0;2;0;2;10;6
"man";2;0;3;7;0;3;11;13
"aparato";1;0;3;1;0;5;5;20
"suposición";6;1;0;4;1;1;11;15
"idoneidad";4;0;0;0;0;1;33;8
"idéntico";1;0;0;1;0;7;3;3
"pri";0;0;4;0;0;4;13;22
"mer";0;0;4;0;0;2;4;6
"falla";0;0;1;5;0;2;5;5
"valorando";1;0;0;0;0;0;7;5
"muñoz";0;0;1;0;3;1;33;14
"ingreso";8;1;25;19;0;26;22;12
"tra";0;0;7;0;0;8;41;43
"supervisión";0;0;1;10;8;17;80;50
"castigo";0;0;0;0;0;11;5;2
"tam";0;0;5;0;2;6;20;23
"bién";0;0;3;0;2;2;20;23
"proactivamente";0;0;0;0;0;0;10;2
"carrión";0;0;0;0;0;0;7;6
"nología";0;0;4;0;1;2;25;12
"trampa";3;0;0;2;0;20;29;18
"velázquez";0;0;0;0;0;2;9;16
"rios";0;0;5;0;0;4;15;23
"arce";1;0;0;0;0;0;4;5
"progra";0;0;4;0;2;1;5;12
"inexistente";0;0;0;1;1;3;7;3
"au";1;0;12;3;0;25;39;29
"novar";0;0;0;0;0;1;5;10
"prohibición";0;0;0;0;0;8;15;28
"refe";0;0;0;0;0;1;8;6
"debidamente";0;1;0;1;0;1;7;3
"argumentativo";0;0;0;0;0;1;3;7
"ense";0;0;0;0;1;3;24;26
"ñanza";0;0;0;0;0;2;21;24
"originar";2;0;0;0;2;1;16;8
"lidad";0;0;2;0;0;6;29;18
"impactan";3;0;0;1;1;4;16;4
"seminario";0;0;0;0;2;14;21;50
"consistencia";1;0;0;0;0;2;24;17
"permitirles";2;0;0;2;2;1;5;1
"salón";2;0;0;0;0;7;3;10
"semestre";0;0;1;2;0;5;44;21
"simultáneo";2;1;0;2;0;3;16;4
"apa";1;0;0;0;0;6;23;25
"tativa";0;0;1;0;0;0;7;3
"legítimo";4;0;0;14;0;1;20;13
"debajo";6;0;2;1;0;12;16;8
"resul";0;0;1;2;0;4;14;16
"sancionar";0;0;0;0;0;2;8;1
"jorar";0;0;1;0;0;2;8;5
"rentar";0;0;0;0;0;1;13;4
"acadé";0;0;1;1;0;1;19;12
"mica";0;0;2;2;0;1;3;8
"arduo";4;0;0;0;0;2;4;6
"leve";0;0;0;1;0;2;6;6
"ficar";0;0;1;0;0;0;8;3
"paréntesis";0;0;0;0;0;0;8;3
"innecesario";1;0;1;0;0;7;3;5
"verse";9;0;1;9;2;16;32;18
"parafraseo";0;0;0;0;0;2;4;4
"autocorrección";0;1;0;0;0;2;3;4
"rior";0;0;0;0;0;1;9;11
"reco";0;0;1;0;0;1;25;19
"algu";0;0;2;0;1;3;7;17
"situarse";0;0;0;0;0;0;6;4
"infor";0;0;4;2;1;5;41;32
"mación";0;0;8;2;1;7;44;50
"nece";0;0;3;0;1;2;24;16
"percibirse";0;0;0;1;0;2;3;4
"efectuar";3;0;1;1;0;1;13;12
"insistir";3;0;0;1;0;12;10;7
"séptimo";0;0;0;0;0;2;3;5
"omisión";2;0;0;1;0;5;8;4
"perjudicar";0;0;3;6;1;6;15;4
"escri";0;0;0;0;0;0;4;6
"tura";0;0;1;0;0;5;11;36
"uti";0;0;1;2;0;1;31;19
"cional";0;0;4;1;0;2;9;10
"abusar";0;1;0;0;0;2;3;5
"cepal";0;0;0;0;0;2;8;7
"serlo";2;0;1;0;1;4;1;4
"engaño";1;0;0;1;0;6;6;6
"prensión";0;0;0;0;0;0;13;17
"concordancia";0;0;0;0;0;13;15;3
"sospechar";5;0;0;0;0;3;18;4
"segui";0;0;0;0;0;0;5;6
"yor";0;0;2;0;0;0;3;5
"favo";0;0;1;0;0;0;2;8
"rezar";1;0;1;0;0;1;12;7
"timar";6;0;0;10;0;13;13;14
"consecutivo";0;0;0;1;0;0;3;7
"notorio";0;0;0;2;0;6;5;9
"conside";0;0;0;0;0;1;6;7
"rando";0;0;2;0;1;0;4;9
"graduar";1;0;1;1;0;9;23;10
"instruir";0;1;0;1;0;25;6;3
"consignar";1;0;0;0;0;27;58;11
"mutuo";0;0;0;1;0;5;13;5
"huerta";0;0;0;0;0;0;25;3
"medina";0;0;0;0;0;0;10;9
"salazar";0;0;0;0;0;3;2;5
"fraude";6;0;3;3;0;6;15;10
"5944";0;0;0;0;6;2;19;7
"oviedo";4;0;0;0;0;0;6;6
"educatio";0;0;0;0;0;1;6;4
"277";1;0;0;0;2;0;2;7
"300";7;2;3;7;2;14;10;12
"preservación";0;0;0;4;2;4;31;12
"5281";0;0;0;0;0;2;7;3
"zenodo";0;0;0;0;0;2;10;5
"viii";3;0;0;0;0;1;4;12
"arias";0;0;1;0;0;4;9;9
"peruano";0;0;9;0;0;5;16;6
"latam";0;0;0;0;0;8;18;1
"22201";0;0;0;0;0;3;8;9
"canto";0;0;0;0;0;9;2;1
"departamento";12;2;10;6;0;25;129;46
"laguna";1;0;1;2;0;6;27;23
"certezas";0;0;0;0;0;1;7;5
"rio";0;0;2;0;3;2;12;23
"rrollo";0;0;6;0;0;5;18;28
"discernimiento";0;1;0;0;0;9;6;2
"tencias";0;0;0;0;0;1;9;16
"inclusiva";2;0;2;12;3;12;124;34
"competenciales";0;0;0;0;0;0;19;6
"habi";0;0;4;0;0;1;7;9
"lidades";0;0;2;0;0;2;11;9
"atributo";0;1;1;2;8;9;23;23
"adaptabilidad";2;1;1;0;0;8;146;63
"crí";0;0;0;0;0;0;6;8
"rey";4;0;1;0;1;13;29;12
"fuerza";19;0;13;20;1;53;86;43
"transfor";0;0;4;2;0;0;9;10
"ocho";7;1;1;0;0;17;36;7
"bilidad";0;0;1;0;0;2;9;9
"liderazgo";46;0;4;4;1;34;86;42
"fo";0;0;4;0;0;0;10;12
"menta";3;0;0;0;2;0;3;6
"nario";0;0;0;0;0;2;3;6
"ble";0;0;2;0;1;4;20;20
"intercambio";9;0;4;29;0;38;108;49
"aislamiento";1;0;0;0;0;3;15;6
"vinculación";0;0;0;1;0;4;18;11
"verdad";18;1;0;2;1;35;90;23
"merecer";1;0;0;2;0;14;19;15
"1998";13;0;0;3;0;5;21;10
"articulación";0;0;1;0;0;4;20;18
"metodológicas";1;0;0;0;0;8;22;12
"pectiva";0;0;0;0;0;0;5;7
"observador";0;0;0;1;0;2;3;4
"sen";1;0;1;1;0;1;7;16
"inclusivas";0;0;0;7;0;1;37;9
"pos";1;0;5;2;1;5;10;13
"turas";0;0;0;0;1;4;6;4
"fun";0;0;3;0;1;7;28;17
"damental";0;0;0;0;0;1;9;7
"sereno";0;0;0;0;0;0;0;22
"movilizar";1;0;2;4;0;14;16;1
"pulsar";2;0;1;0;0;1;9;2
"característico";4;0;0;0;1;3;5;6
"nas";0;0;6;2;1;6;11;35
"elec";0;0;1;0;0;3;7;6
"mensajería";1;0;0;1;0;5;9;16
"ticipación";0;0;0;0;0;5;6;5
"proyec";0;0;1;1;0;106;3;6
"digita";0;0;2;0;0;1;8;2
"lúdica";0;0;0;0;0;1;9;3
"docs";2;0;0;3;0;9;19;11
"teams";0;0;0;0;0;7;18;7
"networking";0;0;0;0;0;1;8;4
"nera";0;0;1;0;0;0;9;17
"aprendi";0;0;0;1;0;7;34;44
"zaje";0;0;0;1;0;6;34;42
"vuelta";7;0;2;0;0;6;9;7
"fíos";0;0;0;0;0;0;6;7
"pretensión";0;0;0;0;0;4;5;3
"reflexivas";0;1;0;0;0;12;14;8
"estrechamente";6;1;1;5;0;5;29;11
"mutuamente";5;0;0;1;1;6;4;7
"peligro";11;0;2;4;0;33;37;20
"convertirse";14;3;5;2;1;25;45;60
"246";0;0;0;2;0;2;2;5
"celebrar";17;0;0;8;0;10;23;9
"sistematización";1;0;0;0;0;1;14;5
"sonal";0;0;1;0;0;1;5;5
"basándonos";3;0;0;0;0;3;5;5
"vivencia";0;0;0;0;0;1;9;6
"07";3;1;2;12;3;13;49;21
"link";1;0;0;1;0;7;9;16
"indagación";0;0;0;0;0;11;23;15
"unificar";1;0;2;0;0;5;9;6
"respaldo";0;0;3;1;0;3;12;3
"enriquecimiento";0;0;1;0;1;2;14;7
"deriva";1;0;2;1;0;9;11;9
"convocatoria";0;0;0;1;2;0;13;13
"metodológica";0;0;0;0;0;8;32;14
"conformación";0;0;0;1;0;0;5;4
"tutorización";0;0;0;0;0;1;15;8
"oscilar";0;0;0;0;0;2;4;9
"neae";0;0;0;0;0;0;32;2
"enriquecedora";0;0;0;0;0;3;20;13
"ceso";0;0;2;0;0;0;11;20
"enrique";1;0;3;0;0;1;15;7
"enriquecedor";0;0;0;0;0;4;10;9
"samiento";0;0;0;0;0;3;8;9
"metacognitiva";29;0;0;0;0;7;0;2
"didác";0;0;0;0;0;0;4;7
"tica";0;0;2;1;1;1;20;19
"dor";0;0;1;0;0;4;10;4
"sentar";6;0;4;2;1;11;20;12
"chos";0;0;2;1;0;2;3;12
"inves";0;0;2;2;0;0;23;17
"tigación";0;0;2;0;0;0;19;10
"diferenciar";16;2;1;2;0;22;37;12
"falsedad";0;0;0;4;0;1;3;2
"extenderse";0;1;1;0;0;2;6;3
"ficas";0;0;0;0;0;0;4;7
"nadar";0;0;1;1;0;3;19;20
"cho";0;0;1;0;0;0;8;4
"epistemológico";3;0;0;0;0;2;3;6
"razonable";0;0;1;1;1;15;14;9
"fundamentación";1;0;0;0;1;3;18;7
"utili";0;0;5;0;0;2;15;22
"posi";0;0;4;0;0;3;12;17
"tivo";0;0;1;0;0;10;25;44
"pluralidad";0;0;1;1;0;1;3;6
"pluralismo";0;0;0;7;0;3;3;2
"expuesto";0;0;0;0;0;0;6;5
"racionalidad";3;0;0;1;0;11;6;9
"pensa";0;0;0;0;0;2;7;14
"testigo";1;0;0;0;0;4;5;2
"posesión";11;0;1;0;0;0;10;1
"cooperativo";9;0;0;1;0;3;20;6
"bueno|óptimo";2;1;0;0;0;2;11;5
"posibilitan";0;0;1;0;0;3;8;5
"internalización";5;0;0;0;0;1;4;2
"periencias";0;0;0;0;0;2;7;5
"trascendiendo";0;0;0;0;0;0;2;8
"proporcio";0;0;0;1;0;1;14;9
"tecnolo";0;0;16;0;1;5;20;14
"gías";0;0;4;0;1;1;14;7
"enriquecidos";0;0;0;0;0;0;13;10
"paciencia";2;0;0;0;1;9;3;3
"tentación";2;0;0;0;0;5;6;14
"predominio";0;0;0;6;0;1;6;6
"sonido";4;0;2;3;1;41;52;6
"estético";1;0;0;0;0;9;36;13
"dinamizar";0;0;1;0;0;0;8;3
"conforme";0;0;2;3;2;6;18;21
"replantear";1;0;0;0;0;3;8;14
"discernir";0;0;0;1;0;7;19;19
"table";0;0;0;0;1;1;11;14
"cues";0;0;0;0;0;2;16;11
"configurar";2;0;0;4;1;15;39;30
"cívico";1;2;0;4;0;4;16;9
"construc";0;0;0;0;0;0;8;10
"independiente";14;1;5;25;4;21;53;47
"aborden";1;1;1;2;1;2;29;20
"étnico";1;0;0;6;0;7;11;3
"humanismo";1;0;0;0;0;2;5;6
"inclu";0;0;1;0;0;2;12;13
"factual";0;0;0;0;0;1;13;6
"deci";5;0;1;0;0;1;8;9
"siones";0;0;0;0;0;1;16;10
"pación";0;0;4;0;0;1;6;6
"civil";2;0;11;53;0;14;48;17
"empodera";0;0;0;2;0;2;5;7
"sonas";0;0;2;1;1;0;6;9
"apreciación";7;0;0;1;0;8;11;6
"plural";0;0;0;0;0;2;7;3
"riqueza";7;0;1;2;0;18;23;8
"view";2;0;0;5;1;22;71;53
"miranda";0;0;0;0;0;5;5;1
"esteban";1;0;0;0;0;1;28;4
"roso";1;0;1;0;0;1;20;18
"méndez";1;0;0;0;0;1;20;8
"católico";1;0;1;1;0;0;27;18
"php";3;0;2;1;1;11;58;43
"abp";0;1;0;0;0;1;8;16
"heredia";0;0;0;0;0;0;13;3
"á";0;0;0;1;2;5;16;14
"guerrero";0;0;0;0;0;9;15;14
"scielo";0;0;2;0;0;1;18;8
"pe";0;0;5;0;2;8;45;31
"erradicar";0;0;0;2;0;4;6;3
"catalán";5;0;0;0;0;4;25;4
"geogebra";0;0;0;0;0;3;4;5
"symbolab";0;0;0;0;0;0;0;25
"homo";1;0;0;1;0;9;3;2
"argumentar";1;3;0;7;1;41;35;18
"mentando";0;0;1;0;0;0;4;5
"instruccional";0;0;0;0;0;0;17;13
"math";0;0;0;3;0;6;11;4
"ho";0;0;0;0;0;6;5;12
"notablemente";4;0;2;0;0;4;6;2
"señanza";0;0;0;0;0;2;9;9
"blemas";0;0;2;0;0;0;14;10
"inteli";0;0;8;1;1;4;21;18
"gencia";0;0;5;1;1;4;24;13
"pino";0;0;0;0;0;0;4;14
"temáticos";0;0;0;0;0;2;16;11
"rramienta";0;0;0;0;0;0;4;12
"objeti";0;0;1;0;0;3;3;7
"coeficiente";21;0;0;0;0;0;9;27
"lar";0;0;0;0;0;1;7;6
"estra";0;0;3;0;0;2;7;10
"tegias";0;0;2;0;0;1;5;5
"selec";0;0;1;0;0;0;3;11
"cionar";0;0;1;0;0;0;10;11
"estrate";0;0;3;1;0;1;7;7
"gias";0;0;0;0;0;0;7;6
"diferen";0;0;0;1;1;2;10;10
"ciales";0;0;3;0;0;2;17;21
"ra";1;0;30;8;2;9;39;30
"valenzuela";0;0;0;1;0;4;12;3
"mu";0;0;1;0;0;4;6;12
"someter";1;0;1;3;0;4;20;8
"cuestio";0;0;0;0;0;0;4;9
"zando";0;0;3;0;0;0;10;11
"mendoza";0;0;0;0;0;5;15;9
"exploratorio";0;0;1;6;0;5;18;8
"educandos";0;0;0;4;0;0;7;5
"greso";0;0;0;0;0;0;6;5
"confiabilidad";0;0;0;1;0;14;35;12
"alfa";0;0;0;0;0;4;9;7
"cronbach";0;0;0;0;0;1;7;7
"fiabilidad";3;0;0;3;3;12;59;42
"constructos";1;0;0;0;0;1;5;3
"1994";4;1;0;0;0;8;19;12
"aná";0;0;1;0;0;0;10;15
"lisis";0;0;1;0;0;0;10;15
"nú";0;0;2;0;0;0;0;9
"tencia";0;0;2;0;0;3;13;14
"exploratoria";2;0;0;0;0;3;9;6
"matemá";0;0;0;0;0;0;10;3
"ticas";0;0;3;0;0;6;18;13
"362";0;0;1;0;0;3;3;8
"juárez";0;0;0;0;0;0;11;10
"matlab";0;0;0;0;0;0;1;11
"corporación";4;1;4;5;0;5;21;13
"constructivista";1;0;0;1;0;25;11;2
"titulado";5;0;0;3;0;6;8;6
"sucesivo";1;0;0;0;0;10;17;5
"correr";14;0;1;11;1;19;53;39
"comple";0;0;1;0;0;2;8;10
"heterogéneo";0;0;0;1;0;1;12;9
"constructor";1;0;0;0;0;3;5;9
"correc";0;0;1;0;0;11;5;6
"sobresalir";4;0;1;0;0;5;14;10
"expe";0;0;1;0;0;0;18;18
"diferenciadas";0;0;1;0;1;3;6;5
"manipular";7;0;0;5;2;12;32;11
"marcador";3;0;0;1;0;16;4;4
"ron";1;0;5;1;2;6;8;21
"puntajes";3;0;0;1;0;4;2;2
"puntaje";0;0;0;1;0;41;4;3
"inge";0;0;3;0;2;6;3;1
"cobo";0;0;3;0;0;2;16;11
"prendes";0;0;0;0;0;0;15;3
"plementación";0;0;3;0;0;0;6;8
"trategias";0;0;1;0;0;1;8;7
"exper";0;0;0;0;0;6;4;2
"rincón";5;0;0;0;0;1;15;4
"gía";0;0;10;0;0;6;12;18
"consonancia";0;0;0;4;0;5;9;8
"vygotsky";38;3;0;0;0;10;6;4
"sala";4;0;0;1;0;10;25;33
"posibili";0;0;1;0;0;0;8;8
"dades";0;0;10;3;0;4;56;47
"proce";0;0;3;0;0;6;20;10
"mos";0;0;8;2;5;7;45;33
"interactividad";1;0;0;0;0;1;45;14
"propicio";0;0;2;10;0;5;20;8
"diante";0;0;1;0;0;3;21;35
"fidelidad";2;0;0;0;0;0;5;6
"cognición";93;4;1;1;0;15;13;4
"armar";0;0;0;2;1;9;7;4
"politécnica";0;0;0;1;0;3;22;2
"chimborazo";0;0;0;0;0;4;13;1
"osf";0;0;0;0;0;2;5;3
"io";1;0;0;8;0;21;44;21
"mcgraw";0;1;0;0;0;0;4;5
"hill";0;1;0;1;0;2;7;7
"cárdenas";0;0;0;0;0;0;10;9
"ordinario";0;0;0;2;0;5;5;5
"leal";0;0;0;0;0;1;3;7
"347";0;0;0;0;0;1;4;5
"cese";0;0;0;1;0;12;2;5
"1987";2;2;0;3;1;4;11;4
"preparatorio";0;0;0;0;0;3;3;5
"profesionista";0;0;0;0;0;1;4;6
"novación";0;0;1;0;0;0;4;7
"específi";0;0;1;0;0;0;5;6
"tudio";0;0;0;1;0;0;6;9
"trabar";0;0;3;0;0;3;7;6
"tados";0;0;1;2;0;13;17;16
"presión";12;1;0;5;0;5;39;16
"activi";0;0;1;0;0;1;7;27
"problematización";0;0;0;0;0;0;4;7
"problematizar";0;0;0;1;0;3;18;4
"hi";1;0;1;2;0;3;7;2
"rias";0;0;2;0;0;0;2;18
"tallar";1;0;0;0;1;1;8;3
"mentar";0;0;6;0;0;2;9;10
"incitar";1;0;0;3;0;1;2;4
"escoger";4;0;1;0;2;11;18;10
"vestigación";0;0;3;0;0;1;11;12
"opor";0;0;3;0;0;14;23;8
"tunidad";0;0;1;0;0;5;7;4
"len";0;0;2;0;0;1;17;16
"guaje";0;0;1;0;0;0;12;12
"teligencia";0;0;1;0;0;2;10;13
"iag";0;0;0;2;0;94;578;128
"zado";0;0;0;0;0;1;9;10
"estructurados";3;0;1;4;2;14;30;10
"pue";0;0;9;0;2;7;34;15
"especialidad";1;1;0;0;0;10;17;9
"gunas";0;0;2;0;0;0;7;2
"nales";0;0;5;1;0;2;19;20
"respectivamente";4;0;0;4;2;2;25;24
"nerativa";0;0;0;0;0;0;6;9
"ayu";0;0;4;0;0;0;8;5
"docu";0;0;0;0;0;1;14;6
"desem";0;0;2;0;0;0;6;5
"síncrono";0;0;0;0;0;0;3;8
"cier";0;0;0;0;0;5;5;2
"cum";0;0;0;0;0;0;4;7
"portada";2;0;0;1;0;5;8;7
"equi";0;0;2;0;1;1;11;7
"ben";2;0;7;1;0;6;14;23
"investi";0;0;3;2;0;4;23;15
"gación";0;0;4;2;0;2;19;14
"riencia";0;0;0;0;0;0;9;10
"borrar";1;0;0;0;0;5;7;7
"atacar";9;0;0;1;0;3;2;3
"quo";1;0;0;1;0;0;6;11
"cuadro";1;0;12;1;3;66;33;15
"salar|salir";3;0;0;0;1;0;5;3
"generarse";0;1;0;0;0;0;6;3
"directorio";0;0;2;2;0;6;4;5
"aifindy";0;0;0;0;0;11;2;3
"usua";0;0;1;0;0;1;8;8
"avalar";1;0;0;0;0;4;10;4
"bus";0;0;0;0;0;2;6;12
"mienta";0;0;0;0;0;0;25;22
"corroborar";0;0;0;0;0;1;5;6
"continuamente";10;1;4;9;0;9;40;27
"prueben";0;0;0;1;0;6;2;2
"respues";0;0;1;0;0;3;4;6
"desventaja";2;0;2;6;1;12;27;19
"gene";1;0;5;1;1;5;25;30
"rativa";0;0;0;0;0;1;5;11
"carac";0;0;0;0;1;14;9;5
"terísticas";0;0;0;0;0;12;8;5
"caciones";0;0;1;0;0;1;12;13
"gico";0;0;1;1;0;2;5;10
"bio";0;0;2;0;0;0;7;6
"statu";0;0;0;1;0;0;3;6
"descartar";2;0;0;1;3;3;8;11
"cla";0;0;1;0;0;2;13;14
"tiendo";1;0;1;0;0;2;5;5
"imáge";0;0;2;2;0;0;9;3
"robar";6;0;0;0;0;13;1;1
"exploren";0;0;0;0;0;7;12;12
"utilizarlas";0;0;0;1;0;9;18;13
"cientí";0;0;1;2;1;1;11;4
"ficos";0;0;0;1;0;0;6;6
"mediáticos";0;0;0;0;0;2;3;9
"educacionales";0;0;0;0;0;3;6;4
"educacional";1;0;0;0;0;12;14;12
"necesi";0;0;2;0;0;2;18;10
"interpersonales";0;0;2;0;0;8;14;14
"comunicativas";0;0;0;3;0;1;27;5
"enfatizan";0;0;1;0;0;6;14;10
"uned";0;0;0;0;7;10;8;6
"vial";1;0;1;1;0;0;6;2
"enfatizando";0;0;0;0;0;5;17;10
"experiencial";4;0;0;0;0;4;12;16
"mático";0;0;1;0;1;0;4;6
"profesio";0;0;3;0;0;0;8;15
"relevan";0;0;1;0;0;1;1;7
"rusia";4;1;0;0;0;10;8;1
"ade";0;0;6;1;0;9;19;32
"profesionalización";0;0;0;0;0;1;14;7
"soft";0;0;2;0;0;6;13;9
"capaci";0;0;5;0;0;2;12;12
"insti";0;0;2;1;0;2;1;5
"namiento";0;0;0;0;0;1;11;4
"tran";0;0;2;0;1;2;7;11
"remoto";11;1;2;4;2;19;30;11
"contingencia";1;0;0;0;2;1;7;4
"suspender";1;0;1;3;0;1;2;3
"tivos";0;0;0;0;0;2;23;19
"comienzo";2;0;1;5;1;25;27;15
"rramientas";0;0;0;0;0;2;17;18
"geografía";1;0;0;1;0;14;10;4
"territorio";4;0;4;3;0;14;36;18
"esencialmente";2;2;0;3;0;4;9;6
"telecomunicación";10;0;4;5;0;8;15;3
"interferencia";0;0;0;3;0;2;2;4
"tablet";0;0;0;0;0;1;6;9
"capacitaciones";0;0;0;3;0;2;7;4
"cursar";0;0;0;0;0;4;7;10
"diplomado";0;0;0;0;0;4;7;1
"inme";0;0;0;0;0;0;6;4
"mando";1;0;0;0;1;4;11;8
"disciplinares";0;0;0;0;0;6;12;11
"desta";0;0;0;0;0;2;10;7
"convenio";0;0;0;4;0;3;12;2
"alemania";1;0;12;3;0;18;5;3
"inglaterra";4;3;0;0;0;3;3;3
"acreditar";0;0;0;2;1;6;15;7
"acreditación";0;0;0;0;0;3;47;17
"cien";5;0;2;3;0;7;20;13
"efec";0;0;1;0;0;6;8;13
"tividad";0;0;1;0;0;47;4;16
"sistematizar";0;0;0;0;0;1;23;6
"egreso";0;0;0;0;0;2;13;5
"cente";0;0;0;0;0;3;9;14
"tros";0;0;2;0;0;0;13;3
"contactar";2;0;0;0;0;2;4;3
