"";"*YEAR2018";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"literatura";7;2;5;7;6;42;169;136
"casi";40;4;14;12;4;77;104;144
"rasgo";5;0;0;1;0;8;33;14
"etc";50;0;5;22;4;99;268;86
"muy";188;33;27;27;39;274;526;306
"pocos";41;3;6;21;0;69;84;48
"excepción";6;0;1;1;0;11;23;20
"famoso";16;0;1;0;1;28;16;8
"hal";2;2;0;0;2;1;0;8
"película";22;0;0;3;1;23;36;44
"2001";12;0;2;6;1;23;33;41
"odisea";1;0;0;0;0;7;2;8
"espacial";7;0;0;0;1;15;25;9
"dirigir";33;1;10;19;8;57;153;63
"1968";1;0;0;0;0;9;4;5
"escribir";59;6;3;12;14;299;435;113
"arthur";0;1;0;0;0;2;1;9
"c";38;3;18;63;23;307;1026;426
"clarke";0;1;0;0;0;2;6;9
"novelar";3;0;0;0;31;21;18;6
"previo";14;0;1;6;4;101;192;116
"aunque";65;13;16;59;11;197;545;246
"voz";20;2;10;47;12;114;276;64
"cuerpo";24;0;0;2;1;25;58;25
"nave";0;0;0;0;0;9;3;4
"conocer";83;12;15;21;25;193;437;265
"cuento";0;0;0;0;1;30;36;11
"ciclo";4;2;3;2;2;55;142;59
"cultura";18;3;6;18;3;64;246;228
"m";34;5;52;89;11;274;1310;804
"ir";187;8;35;38;32;388;669;362
"avatar";3;0;0;3;0;4;17;22
"interfaz";17;7;1;7;6;26;160;23
"distintivo";0;0;0;0;0;2;11;6
"además";38;4;24;73;16;379;863;601
"ciudadano";7;1;31;16;2;38;126;69
"pesar";27;4;5;23;2;77;197;87
"biológico";5;2;0;7;2;16;33;5
