"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"democratización";-0,2695;-0,1116;-0,3118;-0,3404;-0,2219;-0,8628;2,1267;-0,5862
"conocimiento";60,881;2,7448;-6,5706;-0,4598;-3,1363;0,5234;-4,5415;-5,728
"especializado";-0,8567;0,4683;0,4561;-0,3893;-1,0751;0,3154;1,4899;-0,9715
"cada";5,4526;-0,8062;-2,7349;-7,2396;6,2228;1,1649;-0,3008;-1,5032
"vez";23,5702;1,2998;-0,7413;1,1359;4,2992;0,6176;-22,8906;2,1089
"re";-20,2589;-1,1048;3,1163;-6,8107;-3,8065;-22,3072;-53,7872;170,8443
"informar";-0,5142;-0,9871;-1,744;4,2121;0,3073;-4,3963;2,3589;-0,5214
"crítico";-38,2084;-2,8029;-12,9952;-30,4279;-6,7663;-6,7633;-9,2285;119,9252
"relación";1,8263;-1,1225;-0,6884;0,4674;1,26;-2,9581;-0,3111;1,0158
"suscitar";-0,7208;0,5776;-0,3727;-0,1979;-0,2652;0,4661;-0,2708;0,4612
"auge";1,1071;1,2512;-0,1464;-1,1913;-0,3301;1,0126;-0,5041;-0,7013
"sistema";15,1687;8,6809;13,5015;-1,2902;91,1016;0,5877;-3,8221;-30,4693
"educativo";-74,071;1,7179;-11,0587;-47,1291;-0,6318;-49,9379;32,6148;46,6927
"aportar";-1,0614;-1,0074;0,7038;-2,126;0,7486;-2,4283;2,3954;0,6388
"mirada";-1,4744;-0,667;-1,8635;-3,6959;-0,3828;-4,9637;3,6685;2,4342
"desde";-1,6776;0,7094;-3,9436;-3,3354;-1,3917;-4,942;14,9366;-1,1853
"perspectiva";-11,2928;-2,0871;-7,0287;-4,5011;-3,8942;-3,1406;7,6435;4,1746
"saberes";-3,0704;0,2972;-0,8519;-2,1872;0,3931;0,6566;0,4578;1,0488
"enseñar";3,1137;0,5309;-5,4617;-2,0023;-1,2393;5,8737;-2,4199;-0,5911
"sin";19,8759;3,6397;1,1646;1,2804;0,9297;0,5549;-10,8252;-0,6933
"recomendación";-15,0389;-0,7248;-2,3055;-0,4944;-0,4865;1,5978;11,9552;-6,5768
"especí";-1,4255;-0,1416;0,2235;-0,4851;-0,2814;-1,4037;-2,7053;8,8956
"co";-9,3877;0,4544;13,6792;1,2687;-1,1942;-2,1426;-1,5687;3,3972
"apoyar";-3,8862;0,4943;0,9948;12,8473;6,4461;0,5862;-0,5834;-4,9673
"tarea";-9,5668;17,1565;-1,932;-8,8415;1,9534;9,4197;4,3121;-10,1213
"gestión";-7,0229;-0,5953;-1,0712;-2,3391;-1,0882;-6,2368;22,8833;-2,2608
"o";-5,7956;-1,1801;-6,5058;-11,109;15,8918;20,4792;0,4677;-4,2832
"pedagógicas";-11,0212;2,3743;-1,5357;-3,478;-1,3945;-8,6359;3,8934;6,2583
"elaboración";-11,5981;-1,7562;-0,4984;-0,7545;-0,7197;-11,9543;1,2729;14,3816
"colaboración";-8,2249;-2,4724;0,3868;0,4802;-1,1681;-2,357;4,0873;0,9203
"siguiente";-4,0603;-0,3113;-1,4196;-3,1349;1,2825;8,9829;1,4532;-4,7777
"especialista";-3,5606;-0,6371;-1,0693;-0,2627;0,4819;0,4335;2,4027;-0,8952
"quién";11,2539;-0,874;-1,0855;-0,3471;1,3138;4,5257;-7,3343;-1,5339
"mantener";0,7111;1,1086;-0,8578;-2,4024;-0,6345;-0,6574;-2,4486;5,7354
"personal";11,8187;-1,5888;-1,3772;0,3481;2,3001;-3,7593;-0,7717;0,2973
"referencia";-0,3052;-0,6697;-1,1595;-3,6962;0,3;-5,1591;9,4967;-0,9237
"tema";-15,3428;-3,1264;-2,065;-9,6736;-4,5467;4,9353;12,9753;-3,8343
"dra";-0,6001;-0,1715;-0,4792;-1,2303;-0,3409;0,7106;0,5467;0,3753
"luciana";-0,6579;-0,0653;-0,1825;-0,4687;7,8915;-1,989;-1,2848;1,6417
"benotti";-0,3016;-0,0299;3,1092;-0,2148;-0,0595;0,2262;-2,7091;1,4456
"cecilia";-0,5757;-0,0572;-0,1597;-0,4101;-0,1136;-0,3081;2,0641;-0,7323
"dr";-2,7963;-0,2777;-0,7758;-1,9919;-0,552;2,1247;0,8461;-0,4025
"nicolás";-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,259;-1,6372;3,4308
"juan";-1,2668;-0,3948;0,3356;-2,8317;0,2698;0,334;5,3874;-3,2421
"global";-0,5099;0,4827;3,0554;2,3517;-3,0419;0,3472;1,0851;-3,3658
"lic";-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;0,526;0,4175;-0,2063
"gabriel";-0,4935;-0,049;-0,1369;0,2558;1,6868;1,5926;-0,5646;-0,884
"varios";-2,5389;-0,6145;3,4285;5,19;0,3525;11,2192;-4,7781;-3,6331
"facultad";-2,9766;-0,7133;-0,479;-3,1853;0,9616;-1,852;7,9537;-1,1968
"ciencia";-0,2946;-0,6742;3,8282;2,7404;0,2974;-4,6859;0,312;0,7321
"exacto";0,3814;0,4545;-0,5248;-0,3867;1,264;-1,4811;0,4634;0,5588
"natural";-5,1207;0,7805;0,3945;0,5391;3,6621;9,342;0,7563;-10,4236
"1";-30,8409;-8,8247;-9,373;-7,0553;-3,323;-13,25;39,4035;2,4979
"centro";-1,7596;-2,2949;7,7202;-0,9534;30,418;-34,4463;7,6217;-0,6352
"investigación";-6,3466;-3,5229;1,4943;8,5095;-0,6233;-19,6869;44,4548;-18,4042
"informática";6,0446;2,9421;0,7764;2,6752;5,3668;20,6564;-14,0292;-17,3098
"aplicar";-2,2522;-0,2666;-1,1358;-0,8835;2,4731;-0,9681;0,689;1,3786
"argentino";-7,2736;0,3004;-0,2722;-2,0632;-0,9996;-1,445;-4,7252;21,1688
"iniciativa";0,3762;-0,8779;19,7453;7,3026;-1,5333;-6,9525;-2,351;0,792
"program";-1,3315;-0,2096;-0,5857;-0,2521;-0,4167;-0,5314;-9,5114;15,7483
"uba";-0,9869;-0,098;-0,2738;-0,703;2,0002;0,3585;2,8636;-3,4273
"miembro";-0,3202;-0,8849;0,4738;3,1975;0,4248;-0,3465;1,7499;-4,6536
"victoria";2,3264;-0,0953;-0,2662;-0,6835;-0,1894;-0,3806;0,6765;-1,0339
"directora";-0,8931;0,8798;-0,7682;0,3386;-0,1912;0,5277;0,5421;-0,4811
"programa";-7,4415;0,3009;5,0841;3,0049;-0,8119;-0,4249;8,409;-10,4487
"dato";62,9896;2,2807;-0,8685;19,9498;43,8979;-16,455;8,5641;-86,8584
"respuesta";-16,1178;-0,8546;-7,9367;-16,9138;-3,3546;10,299;12,5074;-4,7638
"elegir";-2,1377;-0,8467;-0,6759;-0,5482;1,78;6,4716;-1,0837;-1,1293
"buscar";0,8658;0,2949;-1,2131;-4,6088;-0,9105;-1,1689;1,3838;0,9757
"dar";2,7411;-0,6024;10,5654;-1,6116;1,3428;-1,2416;-0,4484;-1,1381
"cerrado";0,3211;0,516;-0,4411;-0,2775;-0,3139;-0,361;1,3406;-0,9894
"asunto";0,7996;-0,2723;0,2841;2,8237;-0,5412;-0,6422;-0,6512;-0,3561
