"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"siguiente";0,23;0,36;0,24;0,23;0,6;0,57;0,43;0,32
"especialista";0,02;0;0,02;0,08;0,12;0,09;0,11;0,08
"quién";0,34;0;0,04;0,11;0,24;0,18;0,08;0,1
"mantener";0,3;0,48;0,17;0,14;0,18;0,25;0,23;0,34
"personal";1,06;0,24;0,41;0,62;1;0,49;0,59;0,61
"referencia";0,32;0,18;0,19;0,15;0,33;0,22;0,4;0,3
"tema";0,24;0,12;0,41;0,27;0,18;0,84;0,83;0,59
"dra";0,01;0;0;0;0;0,03;0,03;0,03
"luciana";0;0;0;0;0,21;0;0,01;0,02
"benotti";0;0;0,06;0;0;0;0;0,01
"cecilia";0;0;0;0;0;0,01;0,01;0
"dr";0;0;0;0;0;0,06;0,04;0,04
"nicolás";0;0;0;0;0;0;0;0,01
"juan";0,02;0;0,06;0;0,06;0,06;0,08;0,03
"global";0,26;0,36;0,56;0,42;0,03;0,28;0,3;0,22
"lic";0;0;0;0;0;0,01;0,01;0,01
"gabriel";0;0;0;0,01;0,06;0,02;0,01;0
"varios";0,2;0,18;0,62;0,55;0,33;0,48;0,26;0,24
"facultad";0,03;0;0,06;0,02;0,18;0,07;0,14;0,08
"ciencia";0,53;0,36;0,97;0,74;0,54;0,41;0,53;0,56
"exacto";0,03;0,06;0;0,02;0,09;0,01;0,03;0,03
"natural";0,15;0,48;0,34;0,35;0,72;0,47;0,33;0,2
"1";1,2;0,54;1,18;1,75;1,6;1,98;2,92;2,6
"centro";0,34;0,06;1,08;0,37;2,32;0,14;0,52;0,42
"investigación";1,03;0,54;1,81;2,14;1,3;1,01;1,84;1,12
"informática";0,31;0,54;0,22;0,26;0,54;0,32;0,09;0,05
"aplicar";0,37;0,48;0,34;0,42;0,87;0,46;0,51;0,54
"argentino";0,02;0,18;0,15;0,08;0,06;0,13;0,12;0,3
"iniciativa";0,22;0,06;1,08;0,47;0,06;0,12;0,18;0,23
"program";0,01;0;0;0,03;0;0,02;0,01;0,08
"uba";0;0;0;0;0,09;0,02;0,02;0
"miembro";0,12;0;0,15;0,24;0,15;0,12;0,14;0,08
"victoria";0,04;0;0;0;0;0,01;0,02;0,01
"directora";0,02;0,12;0;0,04;0,03;0,04;0,04;0,03
"programa";0,34;0,66;1,2;0,87;0,48;0,63;0,74;0,47
"dato";5,74;4,42;2,93;4,82;8,41;2,61;3,46;2,09
"respuesta";0,4;0,66;0,26;0,3;0,42;1,21;1,1;0,81
