"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"manera";-0,330578881459681;0,64604880145688;-0,455521982910803;0,890224535207276;0,290963904962055;0,709036095037939;0,000309209673528902;0,00118095543914505;0,00282945545113584;0,275404434904683;0,00021460741309949
"modelo";0,699988635415795;0,124573041669556;0,984530832178271;0,175211416552576;0,980192649365082;0,0198073506349171;0,00124373201006288;3,93906340043168e-05;0,00253831101086521;0,317724460149233;0,000256239533264496
"social";-0,368205855194782;-0,810087501674092;-0,413788287841744;-0,910373139347267;0,24459542884874;0,755404571151255;0,000332223240204522;0,00160809792837307;0,00245046570561114;0,334566077113022;0,000274291555395333
"inteligencia";0,714200333197671;-0,391166294821667;0,877066990037527;-0,48036808281412;0,839351890847683;0,160648109152314;0,00120982461784276;0,000362915212572913;0,00237182324185988;0,350318759157454;0,000291077816387373
"desarrollar";-0,554174716433298;0,268827360997227;-0,899727034491475;0,436453048339884;0,869457828299603;0,130542171700395;0,000801636100372757;0,000188638697333341;0,00261026049897807;0,267077823687695;0,000186191353333024
"dar";0,573700276516175;-0,126750456462588;0,976452499896307;-0,215732509015799;0,969796427486044;0,0302035725139544;0,000814512109281791;3,97581795737557e-05;0,00247472774230036;0,261794278736608;0,000169608545318335
"aplicación";-0,123499930914986;0,415733175361315;-0,284765994223375;0,958597062656658;0,121505103082321;0,878494896917672;3,82555380961218e-05;0,000433501146709034;0,00250819262049239;0,159215313946294;6,3581469453394e-05
"capacidad";-0,389505251951;0,77336514827827;-0,44981950655043;0,893119483342922;0,284470012908511;0,715529987091483;0,000388144444192283;0,00153015678258919;0,00255838993778043;0,328178747868802;0,000275541898036083
"actividad";-0,115902055876106;1,04814642326814;-0,109908204396167;0,993941742058563;0,0188037919611286;0,981196208038864;3,14230765529477e-05;0,00256986516599748;0,00233919498562265;0,379825224084868;0,000337469112820757
"resultado";0,239354487657576;0,4978006612599;0,433334501545579;0,901233160602873;0,265972057990676;0,734027942009319;0,000137896190343005;0,000596458260307588;0,00240696136396151;0,208563808936685;0,000104700081168692
"nivel";-0,496599278700973;-0,0848526163448631;-0,985714231367579;-0,168426405529012;0,981712620792757;0,0182873792072426;0,000558714684711429;1,63120443305389e-05;0,00226557225360019;0,225231577848579;0,000114930812194029
"evaluación";-1,1916346274769;1,31115494615084;-0,672572536677823;0,74003120400883;0,564190686253367;0,435809313746628;0,00304958930247228;0,00369201248629672;0,0021476085579733;0,712927784531051;0,00109155646707094
"enseñanza";-1,41342160430929;1,53651500514876;-0,677011857821688;0,735972108417721;0,570121136199161;0,429878863800834;0,00461632505798291;0,00545539929306502;0,00231074983915943;0,841208275124241;0,0016351590562434
"habilidad";-1,11016608230681;1,48455281162576;-0,598877865428643;0,80084037254601;0,46708376219756;0,532916237802435;0,002839678037133;0,00507790412571199;0,00230405686352102;0,729971579647121;0,00122773630055207
